Player,Team,Cap Number,Cash Spent
Rashaan Gaulden,Panthers,"$691,914 ","$1,327,656 "
Tarvarius Moore,49ers,"$676,093 ","$1,264,372 "
Ronnie Harrison,Jaguars,"$673,876 ","$1,276,150 "
Kavon Frazier,Cowboys,"$655,089 ","$630,000 "
Will Parks,Broncos,"$655,089 ","$630,000 "
Su'a Cravens,Broncos,"$651,408 ","$651,408 "
Jordan Whitehead,Buccaneers,"$646,814 ","$1,147,256 "
Jayron Kearse,Vikings,"$646,056 ","$630,000 "
Clayton Fejedelem,Bengals,"$645,888 ","$630,000 "
Jarrod Wilson,Jaguars,"$631,668 ","$630,000 "
Kentrell Brice,Packers,"$630,668 ","$630,000 "
Kendrick Lewis,Titans,"$630,000 ","$915,000 "
Corey Moore,Colts,"$630,000 ","$630,000 "
Blake Countess,Rams,"$630,000 ","$630,000 "
Marqui Christian,Rams,"$630,000 ","$630,000 "
Matthias Farley,Colts,"$630,000 ","$630,000 "
Curtis Riley,Giants,"$630,000 ","$630,000 "
Ron Parker,Chiefs,"$630,000 ","$915,000 "
Nat Berhe,Steelers,"$630,000 ","$790,000 "
Briean Boddy-Calhoun,Browns,"$630,000 ","$630,000 "
Erik Harris,Raiders,"$630,000 ","$630,000 "
DeAndre Houston-Carson,Bears,"$630,000 ","$630,000 "
Jordan Lucas,Chiefs,"$630,000 ","$630,000 "
Damontae Kazee,Falcons,"$627,233 ","$555,000 "
Chuck Clark,Ravens,"$598,705 ","$555,000 "
Xavier Woods,Cowboys,"$594,905 ","$555,000 "
Troy Apke,Washington,"$593,968 ","$1,121,695 "
Deiondre' Hall,Eagles,"$592,941 ","$592,941 "
Rudy Ford,Cardinals,"$590,048 ","$555,000 "
D.J. Reed,49ers,"$557,843 ","$791,372 "
Armani Watts,Chiefs,"$555,470 ","$1,029,644 "
Dymonte Thomas,Broncos,"$555,000 ","$555,000 "
Doug Middleton,Jets,"$555,000 ","$555,000 "
Brandon Wilson,Bengals,"$555,000 ","$555,000 "
Isaiah Johnson,Buccaneers,"$555,000 ","$555,000 "
Jordan Dangerfield,Steelers,"$555,000 ","$555,000 "
Marcus Allen,Steelers,"$553,159 ","$772,636 "
Charles Washington,Lions,"$534,176 ","$534,176 "
Shalom Luani,Seahawks,"$522,353 ","$522,353 "
Andrew Adams,Buccaneers,"$518,824 ","$518,824 "
Sharrod Neasman,Falcons,"$518,824 ","$518,824 "
George Odum,Colts,"$484,333 ","$493,000 "
Sean Chandler,Giants,"$483,333 ","$490,000 "
Mo Alexander,Seahawks,"$481,765 ","$604,118 "
Adrian Colbert,49ers,"$472,082 ","$450,882 "
Marcell Harris,49ers,"$466,516 ","$591,241 "
Raven Greene,Packers,"$453,637 ","$455,971 "
Mike Mitchell,Colts,"$444,706 ","$645,882 "
Marqueston Huff,Cowboys,"$433,000 ","$433,000 "
DeShon Elliott,Ravens,"$402,450 ","$520,800 "
Ronald Martin,Colts,"$393,000 ","$393,000 "
Michael Tyson,Texans,"$391,765 ","$361,765 "
Quenton Meeks,Jaguars,"$367,059 ","$367,059 "
Jonathan Owens,Cardinals,"$367,000 ","$375,000 "
Trayvon Henderson,Bengals,"$365,000 ","$369,000 "
Damian Parms,Panthers,"$363,000 ","$363,000 "
Jameill Showers,Cowboys,"$363,000 ","$363,000 "
Malik Golden,Steelers,"$363,000 ","$363,000 "
Rickey Jefferson,Saints,"$363,000 ","$363,000 "
T.J. Mutcherson,Seahawks,"$363,000 ","$363,000 "
Tre Sullivan,Eagles,"$338,824 ","$338,824 "
Ibraheim Campbell,Packers,"$331,765 ","$331,765 "
Jermaine Whitehead,Browns,"$261,176 ","$261,176 "
Obi Melifonwu,Patriots,"$261,176 ","$261,176 "
Josh Shaw,Buccaneers,"$248,824 ","$248,824 "
Darian Thompson,Cowboys,"$222,353 ","$222,353 "
Will Redmond,Packers,"$212,117 ","$212,117 "
Eddie Pleasant,Packers,"$185,294 ","$232,353 "
D.J. Swearinger,Cardinals,"$176,471 ","$176,471 "
Godwin Igwebuike,49ers,"$141,176 ","$141,176 "
C.J. Reavis,Jaguars,"$141,176 ","$141,176 "
Ryan Neal,Falcons,"$141,176 ","$141,176 "
Montrel Meander,Raiders,"$141,176 ","$141,176 "
Joshua Kalu,Titans,"$141,176 ","$141,176 "
Kenny Ladler,Giants,"$130,588 ","$130,588 "
Damon Webb,Titans,"$129,200 ","$129,200 "
Tigie Sankoh,Browns,"$129,200 ","$129,200 "
Steven Parker,Rams,"$129,200 ","$129,200 "
Ramon Richards,Rams,"$129,200 ","$129,200 "
Natrell Jamerson,Packers,"$112,941 ","$112,941 "
T.J. Green,Seahawks,"$111,177 ","$111,177 "
Jonathon Mincy,Bears,"$106,400 ","$106,400 "
Dean Marlowe,Bills,"$97,941 ","$97,941 "
J.J. Wilcox,Colts,"$92,941 ","$92,941 "
